Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 19.00      1.25     1.25      229     5.46    28.67  processing::Processor::run(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)
 10.79      1.96     0.71      228     3.11     5.66  segmentation::Segmenter::RECM()
 10.64      2.66     0.70  1889126     0.00     0.00  clustering::Clusterer::propagateLabel(int, clustering::Clusterer::VoxelKey const&, std::vector<int, std::allocator<int> >&)
 10.64      3.36     0.70      228     3.07     6.14  clustering::Clusterer::clusterImpl(std::vector<int, std::allocator<int> >&)
  9.42      3.98     0.62     1677     0.37     0.37  polygonization::Polygonizer::boundingBoxRotatingCalipers(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&)
  6.53      4.41     0.43      228     1.89     1.89  void segmentation::Segmenter::JCP<pcl::PointXYZIR>(pcl::PointCloud<pcl::PointXYZIR> const&)
  6.38      4.83     0.42      228     1.84     1.84  segmentation::Segmenter::correctCloseRangeFalsePositivesRANSAC()
  6.23      5.24     0.41    55790     0.01     0.01  void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}>)
  5.78      5.62     0.38    55790     0.01     0.01  void polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)
  3.80      5.87     0.25      228     1.10     1.27  void segmentation::Segmenter::constructPolarGrid<pcl::PointXYZIR>(pcl::PointCloud<pcl::PointXYZIR> const&)
  2.58      6.04     0.17      228     0.75     0.75  clustering::Clusterer::buildHashTable()
